epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,22957.6,0.75467,0.477,0.85896,0.90914,0.8928,0.92595,0.73557,0.76766,0.45099,0.86117,0.000420143,0.000420143,0.000420143
43,23228.2,0.74861,0.47135,0.85662,0.91764,0.8943,0.92971,0.74356,0.75788,0.43736,0.86056,0.000406,0.000406,0.000406
44,23500.4,0.74509,0.46111,0.85824,0.92049,0.88232,0.93076,0.74232,0.76091,0.43864,0.86238,0.000391857,0.000391857,0.000391857
45,23772.4,0.73872,0.46362,0.85645,0.90679,0.88439,0.92847,0.74452,0.75344,0.43199,0.85947,0.000377714,0.000377714,0.000377714
46,24043.9,0.73762,0.46041,0.8576,0.90122,0.89631,0.93011,0.74223,0.7523,0.43521,0.85816,0.000363571,0.000363571,0.000363571
47,24313.9,0.73174,0.45418,0.85663,0.91007,0.89573,0.9341,0.74907,0.74636,0.42966,0.85871,0.000349429,0.000349429,0.000349429
48,24585.7,0.72297,0.44521,0.85342,0.90845,0.89786,0.93449,0.75113,0.74531,0.42688,0.85689,0.000335286,0.000335286,0.000335286
49,24857.1,0.72126,0.45163,0.85197,0.90499,0.90481,0.93487,0.74795,0.75727,0.43003,0.86085,0.000321143,0.000321143,0.000321143
50,25127.8,0.71275,0.43026,0.8493,0.91424,0.89959,0.93569,0.74959,0.7484,0.42069,0.86005,0.000307,0.000307,0.000307
51,25398.5,0.70829,0.43303,0.84782,0.90805,0.90049,0.93463,0.74863,0.74108,0.41549,0.85869,0.000292857,0.000292857,0.000292857
52,25669,0.70895,0.43047,0.84906,0.92563,0.89479,0.93355,0.7516,0.74295,0.42016,0.85949,0.000278714,0.000278714,0.000278714
53,25939.2,0.70901,0.42425,0.84777,0.92131,0.88501,0.93554,0.7512,0.74188,0.41234,0.85709,0.000264571,0.000264571,0.000264571
54,26210,0.6979,0.41736,0.84572,0.91609,0.89477,0.93508,0.75536,0.74439,0.41172,0.85871,0.000250429,0.000250429,0.000250429
55,26480.7,0.69296,0.41647,0.84547,0.92447,0.89747,0.93731,0.75601,0.73809,0.41039,0.85613,0.000236286,0.000236286,0.000236286
56,26751.7,0.69164,0.41,0.84522,0.92106,0.8957,0.93508,0.74986,0.738,0.40805,0.85458,0.000222143,0.000222143,0.000222143
57,46217.4,0.68331,0.40794,0.8432,0.92093,0.89755,0.93551,0.75137,0.73513,0.40502,0.85666,0.000208,0.000208,0.000208
58,46507.6,0.67083,0.39705,0.83948,0.91998,0.89884,0.93535,0.75418,0.73163,0.40421,0.85609,0.000193857,0.000193857,0.000193857
59,46776.6,0.67874,0.3991,0.84305,0.91588,0.90523,0.93767,0.7542,0.73042,0.40216,0.85396,0.000179714,0.000179714,0.000179714
60,47043.8,0.66617,0.39245,0.84189,0.92342,0.8891,0.93599,0.75457,0.73281,0.39593,0.85333,0.000165571,0.000165571,0.000165571
61,47308.6,0.65489,0.36828,0.84167,0.9219,0.9075,0.94171,0.75579,0.73454,0.4023,0.85512,0.000151429,0.000151429,0.000151429
62,47575.8,0.64318,0.3609,0.83158,0.9164,0.89631,0.93441,0.75702,0.73056,0.40237,0.85358,0.000137286,0.000137286,0.000137286
63,47845.9,0.634,0.3559,0.83389,0.92758,0.88995,0.93446,0.75697,0.73518,0.39878,0.85585,0.000123143,0.000123143,0.000123143
64,48116.4,0.62849,0.34958,0.83382,0.92756,0.89226,0.93731,0.75983,0.73246,0.39951,0.85513,0.000109,0.000109,0.000109
65,48386.7,0.62561,0.35164,0.83141,0.928,0.89313,0.93587,0.75679,0.73249,0.39931,0.8555,9.48571e-05,9.48571e-05,9.48571e-05
66,48657.4,0.6188,0.34446,0.83093,0.92555,0.88939,0.93544,0.75798,0.72939,0.39769,0.85563,8.07143e-05,8.07143e-05,8.07143e-05
67,48925.3,0.62021,0.34239,0.83189,0.92216,0.89851,0.93558,0.75894,0.72882,0.39739,0.85521,6.65714e-05,6.65714e-05,6.65714e-05
68,49192.3,0.61112,0.33778,0.82874,0.92968,0.89037,0.93538,0.75862,0.73014,0.39376,0.85535,5.24286e-05,5.24286e-05,5.24286e-05
69,49459.2,0.60746,0.33541,0.82703,0.924,0.89918,0.93666,0.76094,0.72569,0.39298,0.85408,3.82857e-05,3.82857e-05,3.82857e-05
70,49725.5,0.60564,0.33188,0.83014,0.9224,0.8985,0.93589,0.76237,0.72337,0.39293,0.85337,2.41429e-05,2.41429e-05,2.41429e-05
